species,Cryptodendrum_adhaesivum,Entacmaea_quadricolor,Macrodactyla_doreensis,Heteractis_magnifica,Heteractis_crispa,Heteractis_aurora,Heteractis_malu,Stichodactyla_haddoni,Stichodactyla_gigantea,Stichodactyla_mertensii
Amphiprion_akallopisos,0,0,0,0.94,0,0,0,0,0,0.06
Amphiprion_akindynos,0,0.56,0,0.02,0.15,0.01,0,0.01,0,0.25
Amphiprion_allardi,0,0.51,0,0.11,0.01,0.07,0,0.14,0,0.16
Amphiprion_barberi,0,0.83,0,0,0.14,0,0,0,0,0.03
Amphiprion_bicinctus,0,0.52,0,0.28,0.06,0.004,0,0.01,0,0.13
Amphiprion_chagosensis,0,0.22,0,0.3,0.26,0,0,0,0,0.22
Amphiprion_chrysogaster,0,0.08,0.03,0.32,0,0,0,0,0,0.58
Amphiprion_chrysopterus,0,0.04,0,0.5,0.19,0,0,0.02,0,0.25
Amphiprion_clarkii,0.02,0.36,0.05,0.02,0.28,0.09,0.001,0.04,0.001,0.14
Amphiprion_ephippium,0,1,0,0,0,0,0,0,0,0
Amphiprion_frenatus,0,1,0,0,0,0,0,0,0,0
Amphiprion_fuscocaudatus,0,0.15,0.05,0,0.05,0.25,0,0.06,0,0.44
Amphiprion_latezonatus,0,0.66,0,0,0.29,0,0,0.03,0.02,0
Amphiprion_latifasciatus,0,0.29,0,0.08,0,0.13,0,0.08,0,0.42
Amphiprion_leucokranos,0,0,0,0.14,0.43,0,0,0,0,0.43
Amphiprion_mccullochi,0,1,0,0,0,0,0,0,0,0
Amphiprion_melanopus,0,0.98,0,0,0.02,0,0,0,0,0
Amphiprion_nigripes,0,0,0,1,0,0,0,0,0,0
Amphiprion_ocellaris,0,0,0,0.85,0,0,0,0,0.15,0
Amphiprion_omanensis,0,1,0,0,0,0,0,0,0,0
Amphiprion_pacificus,0,0,0,1,0,0,0,0,0,0
Amphiprion_percula,0,0,0,0.81,0,0,0,0,0.19,0
Amphiprion_perideraion,0,0,0,0.92,0.08,0,0,0,0,0
Amphiprion_polymnus,0,0,0.1,0,0,0.02,0,0.88,0,0
Amphiprion_rubrocinctus,0,1,0,0,0,0,0,0,0,0
Amphiprion_sandaracinos,0,0,0,0,0.01,0,0,0,0,0.99
Amphiprion_sebae,0,0.06,0.06,0,0.11,0.11,0.06,0.6,0,0
Amphiprion_tricinctus,0,0.22,0.04,0.03,0,0.14,0.05,0.29,0,0.23
Premnas_biaculeatus,0,1,0,0,0,0,0,0,0,0